model,engine,concurrency,mixed_length,throughput_mean,throughput_std,throughput_ci95
awq,vllm,1,True,95.72072358693167,23.39859861533739,58.13003256129539
awq,vllm,2,True,182.44210073318933,30.360050633176762,75.42463379462069
awq,vllm,4,True,347.5487188910567,25.860532135859433,64.24630807267935
awq,vllm,8,True,597.6224740869782,87.45911734336613,217.27802688232572
awq,vllm,16,True,727.5715441227536,37.54812830965073,93.2822498106783
awq,vllm,1,True,114.14460945382052,6.755810572471764,16.78371833338381
awq,vllm,2,True,188.37770375243463,7.512730288410309,18.6641629043229
awq,vllm,4,True,334.04775852080206,18.861493822084565,46.85832976825214
awq,vllm,8,True,512.256952969136,27.48493803465746,68.28188171288849
awq,vllm,16,True,663.3011014746744,29.757946597697043,73.92880373389298
